NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
15/07/1967,Masculino,SOROCABA,ACM/FEFISO,10 KM
17/05/1980,Feminino,SOROCABA,AASP,5 KM
15/07/1969,Masculino,Votorantim,AVULSO,5 KM
14/04/1976,Feminino,Sorocaba,ACM/FEFISO,10 KM
03/06/1967,Feminino,Sorocaba,Siga-me,5 KM
23/04/1971,Feminino,Piedade,Borgatto Studio,5 KM
03/07/1982,Feminino,Sorocaba,,5 KM
24/09/1987,Feminino,PILAR DO SUL,ACTION/PILAR RUNNERS,5 KM
20/02/1952,Masculino,São Paulo,AASP,5 KM
31/08/1961,Masculino,Sorocaba,Fast corredores,5 KM
01/05/1969,Masculino,Sorocaba,EDEN RACE SOROCABA,PCD
25/04/1971,Feminino,Sorocaba,Avuso,5 KM
28/05/1988,Masculino,Sorocaba,,5 KM
12/08/1963,Masculino,Sorocaba,ACM Sorocaba,5 KM
12/09/1962,Masculino,sorocaba,Associação Funcionários Dana,10 KM
25/06/1970,Feminino,sorocaba,nao tem,10 KM
29/01/1969,Masculino,Sorocaba,motox #19 japan,10 KM
03/06/1984,Masculino,Sorocaba,Amigos Sorocaba,5 KM
10/03/1967,Feminino,Sorocaba,Miguel Sanches,5 KM
03/04/1978,Masculino,Sorocaba,DirectRun,10 KM
26/03/1970,Feminino,Sorocaba,Siga me,PCD
29/08/1983,Feminino,Sorocaba,AASP,5 KM
13/11/1961,Masculino,Sorocaba,Ecort,5 KM
28/06/1989,Masculino,Sorocaba,Peixe pro,10 KM
24/10/1964,Feminino,Pilar do Sul,Atletismo Pilar do Sul,10 KM
18/03/1960,Feminino,sorocaba,Avulso,5 KM
24/06/1975,Masculino,Sorocaba,,10 KM
24/02/1991,Feminino,Sorocaba,,5 KM
25/05/1973,Masculino,Sorocaba,,5 KM
18/02/1994,Masculino,Sorocaba,Gato a jato,5 KM
14/11/1967,Masculino,Salto de Pirapora,Salto de Pirapora,5 KM
06/06/1970,Masculino,Sorocaba,ACM/FEFISO,5 KM
28/11/1969,Feminino,Sorocaba,SESC SOROCABA,10 KM
01/06/1982,Feminino,Sorocaba,ACM/FEFISO,10 KM
21/04/1986,Masculino,Sorocaba,Ingrid assessoria esportiva,10 KM
02/07/1969,Masculino,votorantim,,10 KM
11/01/1990,Feminino,SOROCABA,avulso,5 KM
21/01/1972,Feminino,Sorocaba,Solo,5 KM
04/01/1996,Feminino,Sorocaba,Will TEAM,10 KM
05/06/1977,Feminino,Piedade,,5 KM
13/06/1981,Feminino,Sorocaba,Ducorre,5 KM
30/05/1977,Feminino,Sorocaba,Corrente do bem,5 KM
01/04/1988,Feminino,Sorocaba,DIVAS10+,10 KM
02/07/1973,Masculino,São Miguel Arcanjo,ACADEMIA  EVOLUTION 4K,5 KM
29/02/1964,Masculino,São Roque,FÊNIX RUNNING,10 KM
26/07/1975,Masculino,São Roque,Mercado são Roque,10 KM
17/12/1987,Feminino,Sorocaba,Éden Race,5 KM
24/03/1983,Feminino,Sorocaba,,10 KM
17/11/1977,Feminino,Sorocaba,Equipe live,10 KM
21/10/1987,Masculino,Sorocaba,Corredores zona norte /sul/leste/oeste Sorocaba,5 KM
30/01/1962,Feminino,Sorocaba,Não tem,5 KM
29/08/1974,Masculino,Sorocaba,Divas que Correm/ Will TEAM,10 KM
10/06/1977,Feminino,Sorocaba,Will team,10 KM
18/08/1979,Feminino,Sorocaba,ASCAN,5 KM
12/06/1977,Feminino,Sorocaba,ACM/FEFISO,5 KM
01/07/1976,Masculino,Sorocaba,AASP Sorocaba,5 KM
19/09/2000,Masculino,Sorocaba,AASP,10 KM
18/05/2004,Masculino,Votorantim,,10 KM
09/04/1965,Masculino,Sorocaba,RUNNERS PEPPERS,10 KM
06/08/1972,Masculino,Sorocaba,Clandestinos,5 KM
12/04/1977,Feminino,Sorocaba,Divas que correm,5 KM
02/12/1993,Masculino,Iperó,Running,5 KM
03/07/1982,Feminino,Sorocaba,Cross X Runners,5 KM
21/09/1974,Feminino,Sorocaba,Divas que correm,5 KM
13/02/1997,Feminino,Sorocaba,Boshoku,5 KM
21/03/1987,Masculino,Sorocaba,,10 KM
17/08/1994,Masculino,Votorantim,Nexxus,10 KM
05/05/1988,Feminino,Sorocaba,SPSRUN,5 KM
