 1418  F   F-30-39         0                   0 CORRIDA PARA TODOS I 00:19:13 00:19:10    03:49
 1624  F   F-30-39         0                   0 EQUIPE ENERGIA       00:20:20 00:20:14    04:02
 1114  F   F-30-39         0                   0 ALPHA RUNNING        00:20:30 00:20:26    04:04
 1105  F   F-30-39         0                   0 ACTION/ PILAR RUNNER 00:22:17 00:22:15    04:27
 2342  F   F-14-29         0                   0 THE RUB              00:23:57 00:23:40    04:43
 1322  F   F-30-39         1                   0 CORRENTE DO BEM RUN  00:24:05 00:24:05    04:48
 1284  F   F-30-39         2                   0 CORRE CABREUVA       00:24:12 00:24:08    04:49
 1561  F   F-40-49         1                   0 EDER PIRES ASSESSORI 00:24:29 00:24:10    04:49
 1553  F   F-40-49         2                   0 EDER PIRES ASSESSORI 00:24:20 00:24:11    04:49
  194  F   F-40-49         3                   0 EQUIPE BILL          00:24:32 00:24:20    04:51
 2582  F   F-30-39         3                   0                      00:24:33 00:24:25    04:52
 3331  F   F-40-49         4                   0                      00:24:41 00:24:26    04:52
 2225  F   F-14-29         1                   0 SEM EQUIPE           00:24:33 00:24:27    04:53
 2168  F   F-30-39         4                   0 RR ASSESSORIA        00:25:09 00:24:35    04:54
 3114  F   F-30-39         5                   0                      00:24:49 00:24:37    04:55
 1115  F   F-30-39         6                   0 ALPHA RUNNING        00:24:57 00:24:40    04:55
 2113  F   F-30-39         7                   0 PEIXE PRO            00:24:59 00:24:41    04:55
 2435  F   F-50-59         1                   0                      00:24:46 00:24:43    04:56
 1190  F   F-30-39         8                   0 AUCB                 00:24:50 00:24:44    04:56
 2117  F   F-30-39         9                   0 PEIXE PRO            00:25:25 00:24:47    04:57
 2689  F   F-30-39        10                   0                      00:25:15 00:24:58    04:59
 1303  F   F-40-49         5                   0 CORREDORAS MARAVILHA 00:25:16 00:25:00    05:00
 1279  F   F-40-49         6                   0 CORRA NA MINHA       00:25:21 00:25:04    05:00
 1530  F   F-40-49         7                   0 EDEN RACE SOROCABA   00:25:24 00:25:07    05:01
 1061  F   F-30-39        11                   0 AASP SOROCABA        00:25:13 00:25:10    05:01
 1028  F   F-40-49         8                   0 AASP                 00:25:14 00:25:11    05:01
 2505  F   F-50-59         2                   0                      00:25:18 00:25:11    05:01
 1563  F   F-30-39        12                   0 ELIONAY CORREA SPORT 00:25:17 00:25:13    05:02
 2794  F   F-40-49         9                   0                      00:25:20 00:25:14    05:02
